"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000045";"3";"JEAN JAURES (AVE) 55 A 129";"0";"N/A";"2";"7";"3";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000046";"3";"N/A";" -1";"N/A";"2";"2";"2";"2";"43";"930";"3";"";" -1";"1";" -1";"1";"50"
"202100000047";"4";"SAINT HONORE";"0";"N/A";"2";"0";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000048";"3";"184";" -1";"N/A";"2";"1";"0";"1";"3";"250";"1";"";"3";"1";"0";"1";"80"
"202100000049";"3";"LATTRE DE TASSIGNY AVENUE DE L'";"0";"N/A";"1";"2";"2";"1";"18";"40";"1";"";" -1";"1";"2";"1";"50"
"202100000050";"3";"PASTEUR(PLACE)";"0";"N/A";"2";"0";"0";"1";"0";"320";"1";"";" -1";"1";"0";"1";"50"
"202100000051";"4";"SQUARE DE L HERACLES";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"2";"1";"50"
"202100000052";"4";"BOBILLOT (RUE DU SERGENT)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"9";"1";"50"
"202100000053";"3";"BRUYERES (RTE DES...N°97et+ ET 66 et+ )";" -1";"N/A";"3";"2";"0";"3";"60";"165";"1";"";" -1";"1";"9";"8";"50"
"202100000054";"3";"RECHERCHANT (RUE ADRIEN) (2)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"9";"1";"50"
"202100000055";"4";"HUBERT DE LISLE(BOULEVARD)";"0";"N/A";"1";"1";"2";"1";"0";"0";"1";"";" -1";"1";"0";"5";"50"
"202100000056";"9";"ANCIENNE RN 1";"0";"N/A";"2";"2";"0";"1";"30";"0";"1";"";" -1";"1";"9";"8";"70"
"202100000057";"7";"RIVE DE GIER (DE) (RTE)";"0";"N/A";"2";"2";"0";"1";"4";"900";"3";"";" -1";"2";"0";"1";"80"
"202100000058";"4";"NOTRE DAME DU THIL (RUE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000059";"3";"N/A";" -1";"N/A";"2";"2";"0";"1";"0";"600";"3";"";" -1";"1";"0";"8";"80"
"202100000060";"7";"21";" -1";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"80"
"202100000061";"4";"BERTHO ( RUE HENRI )";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"5";"1";"70"
"202100000062";"4";"LILAS ( AVENUE DES )";"0";"N/A";"2";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000063";"3";"675";" -1";"N/A";"2";"1";"0";"2";"74";"(1)";"1";"";" -1";"1";"0";"1";"80"
"202100000064";"1";"N/A";" -1";"N/A";"2";" -1";" -1";"1";"92";"600";"1";"";" -1";"1";"0";"1";" -1"
"202100000065";"9";"LILATTES";"0";"N/A";" -1";"1";"3";"1";"0";"0";"1";"";" -1";"1";"6";"6";"5"
"202100000066";"4";"DIEDERICHS";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"9";"1";"50"
"202100000067";"3";"ALBERT THOMAS(RUE)";"0";"N/A";"2";"2";"0";"1";"1";"750";"1";"";" -1";"1";"0";"1";"50"
"202100000068";"3";"14";"0";"A";"2";"2";"0";"2";"1";"870";"3";"";" -1";"2";"0";"3";"80"
"202100000069";"4";"N/A";"0";"N/A";"2";"2";"1";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000070";"4";"N/A";" -1";"N/A";"2";"2";" -1";"1";"(1)";"(1)";"1";"";"5,5";"1";"0";"1";" -1"
"202100000071";"4";"DUPONT ALPHONSE (RUE)";"0";"N/A";"1";"0";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000072";"1";"N/A";" -1";"N/A";"1";"3";" -1";"1";"1";"600";"1";"";" -1";"1";"0";"1";"70"
"202100000073";"3";"LIBERATION (AV. DE LA)";"0";"N/A";"2";"2";"0";"1";"14";"780";"1";"";" -1";"1";"0";"4";"50"
"202100000074";"4";"ONZE NOVEMBRE 1918 (RD PT DU)";"0";"N/A";"1";"2";"0";"2";"(1)";"(1)";"3";"";" -1";"1";"2";"1";"50"
"202100000075";"1";"13";"0";"A";"3";"3";"0";"1";"74";"0";"1";"";" -1";"1";"0";"1";"130"
"202100000076";"4";"GAVOT (AVENUE DE)  CD11";"0";"N/A";"2";"2";"0";"2";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000077";"6";"MITTERAND ( ESPLANADE FRANCOIS )";"0";"N/A";" -1";" -1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000078";"4";"PICARDIE (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"1";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000079";"3";"ROCADE (RUE DE LA ........)";" -1";"N/A";"2";"2";" -1";"1";"65";"0";"1";"";" -1";"1";"0";"1";"50"
