"Num_Acc";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202100000022";"201 721";"A01";"1";"1";"4";"1";"1993";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000022";"201 722";"B01";"1";"1";"4";"1";"1984";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000023";"201 719";"A01";"1";"1";"1";"1";"1973";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000023";"201 719";"A01";"10";"3";"4";"1";"1973";"0";"0";" -1";" -1";"2";"3";"1"
"202100000024";"201 717";"B01";"1";"1";"1";"2";"1996";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000024";"201 718";"A01";"1";"1";"4";"1";"1971";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000025";"201 716";"A01";"1";"1";"4";"1";"1999";"1";"2";"6";"9";"0";"0";" -1"
"202100000026";"201 713";"C01";"1";"1";"1";"1";"1954";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 713";"C01";"2";"2";"1";"2";"1967";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 714";"B01";"1";"1";"1";"1";"1993";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 714";"B01";"2";"2";"1";"1";"1992";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 714";"B01";"3";"2";"1";"1";"1993";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 714";"B01";"4";"2";"1";"1";"1982";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 714";"B01";"5";"2";"1";"2";"1995";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000026";"201 715";"A01";"1";"1";"1";"1";"1976";"5";"6";"2";"9";"0";"0";" -1"
"202100000026";"201 715";"A01";"2";"2";"3";"2";"1972";"5";"2";"6";"9";"0";"0";" -1"
"202100000027";"201 711";"A01";"1";"1";"3";"1";"1969";"1";"2";"6";" -1";"0";"0";" -1"
"202100000027";"201 712";"B01";"1";"1";"1";"1";"1995";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000028";"201 709";"A01";"1";"1";"1";"2";"1977";"3";"1";"8";" -1";" -1";" -1";" -1"
"202100000028";"201 710";"B01";"1";"1";"3";"1";"2003";"3";"2";"6";" -1";" -1";" -1";" -1"
"202100000029";"201 708";"A01";"1";"1";"1";"2";"1972";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000029";"201 708";"A01";"10";"3";"3";"1";"1945";"5";"0";" -1";" -1";"9";"3";"1"
"202100000030";"201 707";"A01";"1";"1";"1";"1";"1961";"3";"1";" -1";" -1";"0";"0";" -1"
"202100000030";"201 707";"A01";"10";"3";"3";"2";"1986";"9";"0";" -1";" -1";"3";"3";"2"
"202100000031";"201 706";"A01";"1";"1";"3";"2";"1942";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000032";"201 703";"B01";"1";"1";"1";"1";"1993";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000032";"201 704";"A01";"1";"1";"4";"1";"1995";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000032";"201 704";"A01";"2";"2";"4";"1";"1993";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000033";"201 702";"A01";"1";"1";"1";"2";"1964";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000033";"201 702";"A01";"10";"3";"3";"2";"1954";"5";"0";" -1";" -1";"3";"3";"1"
"202100000034";"201 701";"A01";"1";"1";"1";"1";"1986";"0";"1";"0";" -1";" -1";" -1";" -1"
