"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202100000001";"30";"11";"2021";"07:32";"2";"30";"30319";"1";"1";"1";"1";"CD 981";"44,0389580000";"4,3480220000"
"202100000002";"25";"09";"2021";"14:20";"1";"51";"51544";"1";"3";"1";"3";"Aire de repos croisement D20E9 après sortie D977";"49,2421290000";"4,5545460000"
"202100000003";"15";"07";"2021";"07:55";"1";"85";"85048";"2";"1";"7";"6";"15 rue François Nicolas";"46,9219500000";" -0,9644600000"
"202100000004";"27";"03";"2021";"19:45";"5";"93";"93005";"2";"2";"3";"6";"Route de Mitry";"48,9493634583";"2,5196639908"
"202100000005";"25";"02";"2021";"07:20";"5";"76";"76429";"2";"1";"1";"2";"PARIS. ROUTE DE";"49,4083800000";"1,1458100000"
"202100000006";"23";"11";"2021";"11:10";"1";"68";"68004";"2";"3";"1";"2";"Rue Charles Edouard Amiot";"47,6142390000";"7,2343360000"
"202100000007";"13";"12";"2021";"19:10";"5";"38";"38053";"2";"9";"1";"1";"REPUBLIQUE (PLACE DE LA)";"45,5888000000";"5,2730500000"
"202100000008";"21";"11";"2021";"16:30";"1";"987";"98715";"2";"1";"1";"3";"RT 1 - PK 5+500";" -17,5845220000";" -149,5685780000"
"202100000009";"29";"12";"2021";"16:45";"2";"92";"92048";"2";"2";"2";"3";"REPUBLIQUE (RUE DE LA) N° 47 A 85";"48,8065500000";"2,2358800000"
"202100000010";"16";"10";"2021";"09:53";"1";"93";"93008";"2";"1";"1";"3";"VAILLANT COUTURIER (AVENUE PAUL)";"48,9075657758";"2,4547603726"
"202100000011";"13";"10";"2021";"16:00";"1";"93";"93008";"2";"2";"1";"3";"CHOUMERY (RUE)";"48,9074000000";"2,4568400000"
"202100000012";"20";"10";"2021";"19:45";"3";"21";"21173";"1";"1";"1";"1";"D20";"47,0407010000";"4,8608280000"
"202100000013";"18";"12";"2021";"01:15";"3";"974";"97418";"1";"1";"1";"2";"RN2 - PK 10";" -20,9310800000";"55,5372190000"
"202100000014";"17";"10";"2021";"15:24";"1";"92";"92063";"2";"2";"1";"3";"HOPITAL STELL (BOULEVARD DE L')";"48,8810767676";"2,1844232082"
"202100000015";"2";"12";"2021";"13:10";"1";"51";"51388";"1";"2";"1";"3";"D19";"49,1330510000";"4,3370890000"
"202100000016";"28";"12";"2021";"16:30";"1";"21";"21349";"2";"1";"2";"6";"12 Route d Autun";"47,1944320000";"4,2713810000"
"202100000017";"23";"10";"2021";"14:00";"1";"51";"51362";"1";"1";"1";"3";"A26";"49,2759855047";"3,9647179842"
"202100000018";"13";"09";"2021";"13:00";"1";"14";"14203";"1";"1";"1";"6";"A13";"49,2321610000";" -0,0643750000"
"202100000019";"17";"09";"2021";"20:10";"3";"73";"73096";"1";"1";"1";"3";"D201, route de la carrière";"45,5184960000";"6,0863610000"
"202100000020";"24";"10";"2021";"13:15";"1";"91";"91027";"2";"1";"1";"2";"AV FRANCOIS MITTERRAND";"48,7042539233";"2,3720598221"
"202100000021";"25";"09";"2021";"13:05";"1";"78";"78172";"2";"2";"1";"3";"CARNOT (AVENUE)";"49,0050800000";"2,0936200000"
"202100000022";"29";"09";"2021";"01:50";"5";"91";"91027";"2";"3";"1";"3";"AV FRANCOIS MITTERRAND";"48,7058900000";"2,3717800000"
"202100000023";"21";"12";"2021";"10:15";"1";"88";"88383";"2";"3";"7";"6";"RUE DES 5 EME ET 15 EME B.C.P.";"48,0176600000";"6,5974470000"
"202100000024";"12";"12";"2021";"17:45";"5";"59";"59122";"2";"1";"1";"1";"NAVES (RUE DE)";"50,1830243309";"3,2540237904"
