"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202100000047";"201 672";"A01";"1";"31";"0";"2";"1";"1";"1";""
"202100000047";"201 673";"B01";"1";"7";"0";"2";"3";"1";"1";""
"202100000048";"201 669";"B01";"3";"7";"0";"2";"1";"19";"1";""
"202100000048";"201 670";"A01";"2";"7";"0";"2";"2";"1";"1";""
"202100000048";"201 671";"C01";"1";"7";"0";"2";"3";"1";"2";""
"202100000049";"201 661";"B01";"1";"7";"0";"2";"1";"1";"1";""
"202100000049";"201 662";"A01";"1";"7";"0";"2";"4";"23";"1";""
"202100000050";"201 659";"B01";"1";"7";"0";"2";"4";"1";"1";""
"202100000050";"201 660";"A01";"2";"33";"0";"2";"1";"26";"1";""
"202100000051";"201 657";"B01";"3";"7";"0";"2";"1";"1";"0";""
"202100000051";"201 658";"A01";"3";"1";"0";"2";"8";"1";"5";""
"202100000052";"201 653";"A01";"2";"7";"0";"1";"3";"19";"1";""
"202100000053";"201 651";"A01";"1";"99";"0";"2";"3";"10";"1";""
"202100000053";"201 652";"B01";"1";"33";"0";"2";"1";"1";"1";""
"202100000054";"201 650";"A01";"1";"7";"1";"0";"2";"26";"1";""
"202100000055";"201 648";"A01";"1";"32";"1";"2";"3";"18";"1";""
"202100000055";"201 649";"B01";"1";"7";"0";"2";"7";"1";"1";""
"202100000056";"201 647";"A01";"0";"30";"0";"0";"1";"14";"1";""
"202100000057";"201 645";"B01";"3";"10";"0";"2";"1";"1";"1";""
"202100000057";"201 646";"A01";"3";"7";"0";"2";"1";"16";"1";""
"202100000058";"201 643";"A01";"3";"10";"0";"2";"2";"1";"1";""
"202100000058";"201 644";"B01";"1";"10";"0";"2";"3";"1";"1";""
"202100000059";"201 642";"A01";"2";"33";"0";"0";"8";"0";"1";""
"202100000060";"201 640";"A01";"0";"7";"0";"2";"3";"1";"0";""
"202100000060";"201 641";"B01";"0";"7";"0";"2";"3";"1";"0";""
"202100000061";"201 638";"A01";"3";"7";"0";"2";"2";"15";"1";""
"202100000061";"201 639";"B01";"3";"7";"0";"2";"1";"1";"1";""
"202100000062";"201 637";"A01";"1";"50";"0";"1";"1";"1";"3";""
"202100000063";"201 636";"A01";"1";"2";"0";"6";"1";"1";"1";""
"202100000064";"201 634";"A01";"1";"7";"0";" -1";"4";"1";" -1";""
"202100000064";"201 635";"B01";"1";"7";"0";"0";"1";"1";" -1";""
"202100000065";"201 633";"A01";"0";"50";"0";"1";"1";"26";"3";""
"202100000066";"201 632";"A01";"0";"7";"0";"1";"1";"1";"1";""
"202100000067";"201 630";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202100000067";"201 631";"B01";"1";"33";"0";"2";"2";"15";"1";""
"202100000068";"201 629";"A01";"1";"7";"13";"0";"3";"1";"1";""
"202100000069";"201 627";"A01";"2";"7";"0";"2";"3";"5";"1";""
"202100000069";"201 628";"B01";"0";"7";"0";"0";"0";"0";"1";""
"202100000070";"201 625";"B01";"0";"1";"0";"2";"0";"0";" -1";""
"202100000070";"201 626";"A01";"0";"7";"0";"2";"0";"0";" -1";""
"202100000071";"201 623";"B01";"0";"1";"0";"0";"0";"0";"0";""
"202100000071";"201 624";"A01";"1";"7";"0";"2";"3";"21";"1";""
"202100000072";"201 622";"A01";"2";"10";"0";"0";" -1";"1";"1";""
"202100000073";"201 621";"A01";"2";"7";"0";"1";"2";"16";"1";""
"202100000074";"201 620";"A01";"1";"7";"0";"1";"1";"1";"1";""
"202100000075";"201 616";"D01";"1";"7";"0";"2";"1";"2";"1";""
"202100000075";"201 617";"C01";"1";"7";"0";"2";"1";"2";"1";""
"202100000075";"201 618";"B01";"1";"7";"0";"2";"1";"2";"1";""
"202100000075";"201 619";"A01";"1";"7";"0";"0";"0";"0";"1";""
"202100000076";"201 615";"A01";"2";"2";"0";"0";"0";"26";"1";""
"202100000077";"201 614";"A01";"3";"7";"0";"1";"0";"26";"1";""
"202100000078";"201 612";"A01";"1";"7";"0";"2";"3";"26";"1";""
"202100000078";"201 613";"B01";"2";"2";"0";"2";"3";"15";"1";""
"202100000079";"201 610";"B01";"1";"99";"0";"2";"1";"1";"1";""
"202100000079";"201 611";"A01";"1";"10";"0";"2";"8";"15";"0";""
"202100000080";"201 609";"A01";"1";"7";"8";"0";"1";"9";"1";""
"202100000081";"201 608";"A01";"0";"7";"2";"0";"1";"1";"1";""
"202100000082";"201 606";"A01";"3";"7";"0";"2";"3";"19";"1";""
"202100000082";"201 607";"B01";"2";"30";"0";"2";"1";"17";"1";""
"202100000083";"201 605";"A01";"3";"33";"0";"1";"1";"1";"1";""
"202100000084";"201 603";"A01";"1";"7";"0";"2";"3";"1";"1";""
"202100000084";"201 604";"B01";"1";"7";"0";"2";"1";"1";"1";""
"202100000085";"201 597";"A01";"1";"7";"5";"0";"1";"0";"1";""
"202100000086";"201 596";"A01";"2";"99";"4";"0";"0";"26";"6";""
"202100000087";"201 594";"B01";"3";"7";"0";"2";"1";"0";"1";""
"202100000087";"201 595";"A01";"3";"50";"0";"2";"1";"13";"3";""
"202100000088";"201 592";"A01";"3";"7";"6";"0";"1";"1";"1";""
"202100000089";"201 590";"B01";"1";"33";" -1";"2";"2";"1";"1";""
"202100000089";"201 591";"A01";"1";"7";"0";"2";"8";"1";"1";""
"202100000090";"201 588";"B01";"3";"60";"0";"2";"3";"19";"5";""
"202100000090";"201 589";"A01";"3";"7";"0";"1";"1";"1";"1";""
"202100000091";"201 586";"A01";"2";"7";"0";"2";"8";"1";"1";""
"202100000091";"201 587";"B01";"1";"31";"0";"2";"0";"13";"1";""
"202100000092";"201 584";"A01";"2";"7";"0";"2";"2";"1";"1";""
"202100000092";"201 585";"B01";"2";"2";"0";"2";"8";"19";"1";""
"202100000093";"201 583";"A01";"2";"7";"0";"1";"3";"19";"1";""
"202100000094";"201 582";"A01";"2";"7";"3";"2";"1";"14";"1";""
"202100000095";"201 581";"A01";"3";"3";"1";"0";"1";"0";"0";""
"202100000096";"201 579";"A01";"3";"7";"0";"2";"3";"9";"2";""
"202100000096";"201 580";"B01";"3";"50";"0";"2";"1";"0";"3";""
"202100000097";"201 577";"A01";"3";"3";"0";"2";"3";"19";"0";""
"202100000097";"201 578";"B01";"0";"2";"0";"2";"1";"0";"1";""
"202100000098";"201 575";"B01";"2";"7";"0";"2";"8";"19";"1";""
"202100000098";"201 576";"A01";"2";"10";"0";"2";"1";"1";"1";""
"202100000099";"201 573";"A01";"1";"7";"0";"2";"7";"18";"1";""
"202100000099";"201 574";"B01";"2";"10";"0";"2";"1";"1";"0";""
"202100000100";"201 572";"A01";"1";"7";"0";"1";"1";"2";"1";""
"202100000101";"201 570";"A01";"3";"1";"14";"0";"1";"1";"0";""
"202100000101";"201 571";"B01";"3";"1";"14";"0";"1";"1";"0";""
"202100000102";"201 569";"A01";"0";"2";"16";"0";"7";"14";"1";""
"202100000103";"201 567";"A01";"3";"7";"0";"2";"2";"1";"1";""
"202100000103";"201 568";"C01";"3";"30";"0";"2";"8";"9";"1";""
"202100000104";"201 565";"B01";"1";"7";"0";"2";"1";"1";"1";""
"202100000104";"201 566";"A01";"1";"7";"0";"2";"1";"13";"1";""
"202100000105";"201 563";"A01";"1";"10";"0";"2";"1";"1";"1";""
"202100000105";"201 564";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202100000106";"201 561";"A01";"3";"7";"0";"2";"4";"23";"1";""
"202100000106";"201 562";"B01";"3";"7";"0";"2";"1";"2";"1";""
"202100000107";"201 559";"A01";"0";"10";"0";"2";"1";"11";" -1";""
"202100000107";"201 560";"B01";"0";"1";"0";"2";"1";"1";" -1";""
"202100000108";"201 558";"A01";"3";"1";"12";"0";"1";"14";"5";""
"202100000109";"201 557";"A01";"1";"7";"17";"0";"1";"1";"1";""
"202100000110";"201 555";"B01";"3";"7";"0";"2";"2";"1";"1";""
"202100000110";"201 556";"A01";"3";"30";"0";"2";"8";"13";"1";""
"202100000111";"201 553";"A01";"3";"7";"0";"2";"2";"15";"1";""
"202100000111";"201 554";"B01";"3";"2";"0";"2";"1";"26";"1";""
"202100000112";"201 550";"A01";"0";"7";"0";"0";"0";"1";"1";""
"202100000113";"201 549";"A01";"1";"7";"10";"1";"2";"2";"1";""
"202100000114";"201 548";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202100000115";"201 546";"A01";"1";"7";"0";"2";"3";"13";"1";""
"202100000115";"201 547";"B01";"2";"7";"0";"2";"3";"1";"1";""
"202100000116";"201 545";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202100000117";"201 543";"A01";"1";"7";"0";"2";"3";"19";"1";""
"202100000117";"201 544";"B01";"0";"10";"0";"0";"8";"2";"1";""
"202100000118";"201 542";"A01";"3";"2";"0";"1";"2";"17";"1";""
