"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"201900000001";"1";"3";"0";"";"3";"10";"0";"1";"6";"900";"2";"";"";"1";"2";"1";"70"
"201900000002";"1";"1";"0";"";"1";"2";"0";"4";"3";"845";"2";"";"";"1";"0";"1";"70"
"201900000003";"1";"86";"0";"";"3";"8";"0";"1";"10";"500";"3";"";"";"1";"0";"1";"90"
"201900000004";"1";"4";"0";"";"3";"5";"0";"1";"2";"299";"1";"";"";"1";"0";"1";"90"
"201900000005";"1";"86 ";"0";"INT";"1";"3";"0";"1";"41";"0";"3";"";"";"1";"2";"1";"90"
"201900000006";"4";"FOCH (RUE DU MARECHAL)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"0";"1";"30"
"201900000007";"4";"BEAUJOLAIS (avenue du)";"0";"";"2";"2";"0";"1";"1";"0";"1";"";"";"1";"0";"2";"50"
"201900000008";"4";"VICTOR HUGO(RUE)";"0";"";"2";"2";"0";"2";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000009";"3";"986 ";"0";"";"1";"4";"0";"1";"(1)";"(1)";"1";"";"";"1";"0";"1";"90"
"201900000010";"7";"LOUIS SALVATOR (BOULEVARD)";"0";"";"2";"4";"0";"2";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000011";"4";"BAILLE (BOULEVARD)";"0";"";"2";"3";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000012";"1";"104";"0";"";"3";"6";"0";"1";"2";"799";"2";"";"";"2";"0";"1";"90"
"201900000013";"4";"173";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000014";"2";"2";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"9";"1";"50"
"201900000015";"4";"COMMUNE DE PARIS (AVENUE)";"0";"";"1";"1";"1";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000016";"4";"GENERAL BROSSET (DU)                (AV)";"0";"";"1";"1";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000017";"4";"GABARES (RUE DES)";"0";"";"1";"1";"0";"1";"(1)";"(1)";"1";"";"";"1";"0";"1";"30"
"201900000018";"7";"6";"0";"";"1";"5";"3";"1";"0";"1";"1";"";"";"2";"9";"1";"50"
"201900000019";"4";"PAUL SEDAILLIAN                     (QU)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000020";"4";"KITCHENER MARCHAND                  (PT)";"0";"";"2";"7";"0";"1";"0";"1";"1";"";"";"1";"2";"1";"50"
"201900000021";"3";"81";"0";"";"2";"2";"0";"2";"1";"0";"2";"";"";"1";"0";"1";"50"
"201900000022";"3";"646";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000023";"4";"PHILIPINES - CHEMIN DES";"0";"";"2";"0";"0";"2";"0";"0";"1";"";"";"1";"1";"1";"30"
"201900000024";"7";"HENRI BARBUSSE (RUE)";"0";"";"2";"1";"0";"1";"0";"1";"1";"";"";"2";"0";"1";"50"
"201900000025";"4";"CATHELIN DR (BOULEVARD DU)";"0";"";" -1";"2";"0";"2";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000026";"2";"147 ";"0";"";"3";"4";"0";"1";"59";"600";"1";"";"";"1";"0";"1";"50"
"201900000027";"4";"LIBERATION (AVENUE DE LA)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000028";"4";"LICES (AVE DES)";"0";"";" -1";"1";"0";"2";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000029";"4";"ROGER DUMOULIN (AVENUE)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000030";"3";"321";"0";"";"2";"4";"0";"2";"3";"605";"1";"";"";"2";"5";"1";"50"
"201900000031";"3";"308";"0";"";"2";"4";"0";"1";"10";"790";"1";"";"";"2";"0";"1";"70"
"201900000032";"4";"ROSE (BD.JEAN)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"9";"1";"50"
"201900000033";"3";"1";"0";"";"2";"2";"0";"1";"6";"200";"2";"";"";"2";"0";"1";"80"
"201900000034";"4";"BOLLEE (AV) N° PAIRS 224 ET >";"0";"";"2";"3";"2";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000035";"3";"601";"0";"";"2";"2";"0";"2";"(1)";"(1)";"1";"";"";"2";"0";"1";"80"
"201900000036";"3";"306";"0";"";"3";"6";"0";"1";"51";"150";"1";"";"";"2";"5";"4";"50"
"201900000037";"4";"JEAN JAURES (AVENUE)";"0";"";"3";"5";"2";"1";"0";"0";"1";"";"";"2";"4";"6";"50"
"201900000038";"4";"MOULIN (PLACE JEAN)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"30"
"201900000039";"4";"QUATRE-SAISONS (DES)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000040";"3";"945";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"70"
"201900000041";"4";"FRANCOIS MITTERAND";"0";"";" -1";"2";"0";"1";"0";"0";"2";"";"";"2";"0";"1";"30"
"201900000042";"4";"NOTRE DAME DU THIL (RUE)";"0";"";"2";"2";"0";"1";"(1)";"(1)";"1";"";"";"2";"0";"1";"50"
"201900000043";"4";"AVENUE JEAN JAURES";"0";"";"2";"3";"1";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000044";"4";"ALLEE JACQUES SIMON";"0";"";"2";"2";"0";"1";"(1)";"(1)";"1";"";"";"2";"0";"1";"50"
"201900000045";"4";"RUE DE TAISSY";"0";"";"2";"2";"0";"1";"(1)";"(1)";"1";"";"";"1";"0";"1";"50"
"201900000046";"4";"ALLEE VOLTAIRE";"0";"";"1";"4";"0";"1";"(1)";"(1)";"1";"";"";"2";"0";"1";"50"
"201900000047";"4";"SAINT PAUL (RUE)";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"2";"0";"1";"50"
"201900000048";"4";"CALIGNY (QUAI DE)";"0";"";"2";"3";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"50"
"201900000049";"4";"TURPIN DE CRISSE AVENUE";"0";"";"2";"2";"0";"1";"0";"0";"1";"";"";"1";"0";"1";"60"
"201900000050";"4";"RUE MARCELIN BERTHELOT";"0";"";"2";"2";"0";"1";"(1)";"(1)";"1";"";"";"2";"0";"1";"50"
"201900000051";"4";" RUE DES MONTEES";"0";"";"1";"2";"0";"1";"(1)";"(1)";"2";"";"";"1";"0";"1";"50"
"201900000052";"3";"524";"0";"";"2";"2";"0";"1";"2";"55";"3";"";"";"2";"0";"1";"50"
