"Num_Acc";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"201900000001";"138 306 524";"B01";"2";"2";"4";"2";"2002";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000001";"138 306 524";"B01";"1";"1";"4";"2";"1993";"5";"1";"0";" -1";" -1";" -1";" -1"
"201900000001";"138 306 525";"A01";"1";"1";"1";"1";"1959";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000002";"138 306 523";"A01";"1";"1";"4";"2";"1994";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000003";"138 306 520";"A01";"1";"1";"1";"1";"1996";"0";"1";"0";" -1";" -1";"0";" -1"
"201900000003";"138 306 520";"A01";"2";"2";"4";"2";"1930";"9";"1";"0";" -1";" -1";"0";" -1"
"201900000003";"138 306 521";"B01";"1";"1";"4";"1";"1995";"9";"1";"0";" -1";" -1";"0";" -1"
"201900000003";"138 306 522";"C01";"1";"1";"1";"1";"1966";"1";"1";"0";" -1";" -1";"0";" -1"
"201900000004";"138 306 517";"A01";"1";"1";"1";"1";"1993";"0";"1";"8";" -1";" -1";"0";" -1"
"201900000004";"138 306 518";"B01";"1";"1";"1";"1";"1968";"5";"1";"8";" -1";" -1";"0";" -1"
"201900000004";"138 306 518";"B01";"2";"2";"4";"2";"1978";"5";"1";"8";" -1";" -1";"0";" -1"
"201900000004";"138 306 519";"C01";"1";"1";"1";"1";"1984";"1";"1";"8";" -1";" -1";"0";" -1"
"201900000005";"138 306 515";"B01";"1";"1";"1";"1";"1997";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000005";"138 306 516";"A01";"1";"1";"1";"1";"1998";"5";"1";"8";" -1";" -1";"0";" -1"
"201900000005";"138 306 516";"A01";"2";"2";"4";"1";"1999";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000006";"138 306 513";"A01";"1";"1";"4";"2";"1936";"5";"1";"8";" -1";" -1";" -1";" -1"
"201900000006";"138 306 514";"B01";"1";"1";"1";"1";"1991";"4";"1";"0";" -1";" -1";" -1";" -1"
"201900000007";"138 306 509";"A01";"1";"1";"1";"1";"1996";"1";"1";"8";" -1";" -1";"0";" -1"
"201900000007";"138 306 510";"B01";"1";"1";"4";"1";"1985";"1";"1";"8";" -1";" -1";"0";" -1"
"201900000008";"138 306 508";"A01";"1";"1";"4";"1";"1953";"5";"1";"0";" -1";" -1";" -1";" -1"
"201900000009";"138 306 505";"A01";"1";"1";"1";"1";"2000";"5";"1";"8";" -1";"0";"0";" -1"
"201900000009";"138 306 506";"B01";"1";"1";"1";"2";"1967";"5";"1";"0";" -1";"0";"0";" -1"
"201900000009";"138 306 507";"C01";"1";"1";"4";"2";"1999";"2";"1";"0";" -1";"0";"0";" -1"
"201900000010";"138 306 503";"B01";"1";"1";"4";"1";"1969";"1";"2";"6";" -1";" -1";" -1";" -1"
"201900000010";"138 306 504";"A01";"1";"1";"1";"1";"1995";"5";"1";"0";" -1";"0";"0";" -1"
"201900000011";"138 306 502";"A01";"10";"3";"4";"1";"1970";"0";"8";"0";" -1";"2";"3";"1"
"201900000011";"138 306 502";"A01";"1";"1";"1";"1";"1963";"5";"1";"0";" -1";" -1";" -1";" -1"
"201900000012";"138 306 501";"A01";"1";"1";"4";"1";"1988";"0";"2";"6";" -1";" -1";" -1";" -1"
"201900000013";"138 306 500";"A01";"1";"1";"3";"1";"1990";"5";"1";"8";" -1";"0";"0";" -1"
"201900000013";"138 306 500";"A01";"2";"2";"1";"1";"1992";"5";"1";"8";" -1";"0";"0";" -1"
"201900000013";"138 306 500";"A01";"3";"2";"1";"1";"1997";"5";"1";"8";" -1";"0";"0";" -1"
"201900000014";"138 306 498";"A01";"1";"1";"1";"1";"1975";"9";"1";"8";" -1";" -1";" -1";" -1"
"201900000014";"138 306 499";"B01";"1";"1";"4";"1";"1971";"9";"1";"8";" -1";" -1";" -1";" -1"
"201900000015";"138 306 497";"A01";"10";"3";"4";"2";"1946";"0";"0";" -1";" -1";"3";"3";"1"
"201900000015";"138 306 497";"A01";"1";"1";"1";"2";"2000";"5";"2";"8";" -1";" -1";" -1";" -1"
"201900000016";"138 306 496";"A01";"10";"3";"4";"2";"1999";"1";"0";" -1";" -1";"2";"3";"1"
"201900000016";"138 306 496";"A01";"1";"1";"1";"1";"1975";"1";"8";"0";" -1";" -1";"0";" -1"
"201900000017";"138 306 495";"A01";"10";"3";"4";"1";"2002";"2";"8";"0";" -1";"2";"3";"1"
"201900000018";"138 306 493";"B01";"1";"1";"1";"1";"1980";"1";"1";"0";" -1";" -1";" -1";" -1"
"201900000018";"138 306 494";"A01";"3";"2";"1";"1";"2015";"0";"1";"0";" -1";" -1";"0";" -1"
"201900000018";"138 306 494";"A01";"1";"1";"4";"2";"1985";"1";"1";"0";" -1";" -1";"0";" -1"
"201900000019";"138 306 491";"B01";"1";"1";"1";"2";"1998";"9";"1";"0";" -1";" -1";" -1";" -1"
"201900000019";"138 306 492";"A01";"1";"1";"4";"1";"2000";"1";"2";"0";" -1";" -1";" -1";" -1"
"201900000020";"138 306 490";"A01";"10";"3";"4";"1";"1998";"0";"8";"0";" -1";"2";"3";"1"
"201900000020";"138 306 490";"A01";"1";"1";"1";"1";"1981";"1";"1";"8";" -1";" -1";" -1";" -1"
"201900000021";"138 306 488";"A01";"1";"1";"1";"1";"1970";"0";"1";"8";" -1";" -1";" -1";" -1"
"201900000021";"138 306 489";"B01";"1";"1";"4";"1";"1989";"0";"2";"8";" -1";" -1";" -1";" -1"
"201900000022";"138 306 487";"A01";"1";"1";"4";"1";"1976";"0";"3";"0";" -1";"0";"0";" -1"
"201900000023";"138 306 485";"A01";"1";"1";"4";"1";"1974";"9";"1";"0";" -1";"0";"0";" -1"
"201900000023";"138 306 486";"B01";"1";"1";"1";"1";"1983";"1";"1";"0";" -1";"0";"0";" -1"
"201900000024";"138 306 483";"B01";"1";"1";"2";"1";"1992";"9";"8";"0";" -1";"0";"0";" -1"
"201900000024";"138 306 484";"A01";"1";"1";"3";"1";"1973";"4";"1";"0";" -1";"0";"0";" -1"
"201900000025";"138 306 482";"A01";"10";"3";"4";"1";"2008";"2";"8";"0";" -1";"2";"3";"1"
"201900000025";"138 306 482";"A01";"1";"1";"1";"1";"2000";"1";"8";"0";" -1";"0";"0";" -1"
"201900000026";"138 306 479";"A01";"1";"1";"1";"1";"1994";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000026";"138 306 480";"B01";"1";"1";"3";"1";"1993";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000026";"138 306 481";"C01";"1";"1";"1";"1";"1968";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000027";"138 306 478";"A01";"10";"3";"4";"2";"1982";"5";"8";"0";" -1";"2";"3";"1"
"201900000027";"138 306 478";"A01";"1";"1";"1";"1";"1962";"5";"1";"8";" -1";" -1";" -1";" -1"
"201900000028";"138 306 475";"A01";"10";"3";"3";"1";"1989";"0";"0";" -1";" -1";"3";"3";"1"
"201900000028";"138 306 475";"A01";"1";"1";"1";"1";"2000";"0";"1";"0";" -1";" -1";"0";" -1"
"201900000029";"138 306 473";"B01";"1";"1";"1";"1";"1979";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000029";"138 306 474";"A01";"1";"1";"4";"1";"1974";"0";"8";"0";" -1";" -1";" -1";" -1"
"201900000030";"138 306 471";"A01";"1";"1";"1";"1";"2001";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000030";"138 306 472";"B01";"1";"1";"3";"1";"1936";"5";"0";"0";" -1";" -1";"0";" -1"
"201900000031";"138 306 470";"A01";"10";"3";"3";"1";"1992";"5";"0";" -1";" -1";"1";"2";"1"
"201900000031";"138 306 470";"A01";"2";"2";"4";"2";"1983";"5";"2";"6";" -1";" -1";" -1";" -1"
"201900000031";"138 306 470";"A01";"1";"1";"4";"1";"1979";"5";"2";"6";" -1";" -1";" -1";" -1"
"201900000032";"138 306 468";"B01";"1";"1";"1";"2";"1992";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000032";"138 306 469";"A01";"10";"3";"4";"1";"2003";"9";"0";" -1";" -1";"5";"1";"2"
"201900000032";"138 306 469";"A01";"10";"3";"4";"1";"2003";"0";"8";"0";" -1";"5";"1";"2"
"201900000032";"138 306 469";"A01";"1";"1";"4";"2";"1928";"3";"1";"0";" -1";" -1";" -1";" -1"
"201900000033";"138 306 466";"A01";"1";"1";"4";"1";"1963";"1";"1";"0";" -1";"0";"0";" -1"
"201900000033";"138 306 467";"B01";"1";"1";"4";"1";"1999";"0";"1";"0";" -1";"0";"0";" -1"
"201900000034";"138 306 465";"A01";"1";"1";"1";"1";"2001";"0";"1";"0";" -1";"0";"0";" -1"
"201900000034";"138 306 465";"A01";"10";"3";"4";"1";"1989";"0";"8";"0";" -1";"2";"3";"1"
"201900000035";"138 306 464";"A01";"1";"1";"4";"2";"1987";"1";"1";"0";" -1";"0";"0";" -1"
"201900000036";"138 306 462";"B01";"1";"1";"4";"1";"1998";"5";"1";"8";" -1";" -1";" -1";" -1"
"201900000036";"138 306 462";"B01";"2";"2";"4";"1";"1998";"5";"1";"0";" -1";" -1";" -1";" -1"
"201900000036";"138 306 463";"A01";"1";"1";"4";"1";"2004";"5";"1";"8";" -1";" -1";" -1";" -1"
"201900000036";"138 306 463";"A01";"2";"2";"4";"1";"2006";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000036";"138 306 463";"A01";"4";"2";"4";"1";"2002";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000037";"138 306 460";"B01";"1";"1";"4";"1";"1958";"0";"2";"0";" -1";" -1";"0";" -1"
"201900000037";"138 306 461";"A01";"1";"1";"1";"1";"1969";"4";"8";"0";" -1";" -1";"0";" -1"
"201900000038";"138 306 458";"B01";"1";"1";"4";"2";"1966";"9";"8";"0";" -1";" -1";" -1";" -1"
"201900000038";"138 306 459";"A01";"1";"1";"1";"2";"1986";"9";"1";"8";" -1";" -1";" -1";" -1"
"201900000039";"138 306 457";"A01";"10";"3";"4";"2";"1953";"5";"0";"0";"0";"3";"3";"1"
"201900000039";"138 306 457";"A01";"1";"1";"1";"1";"1952";"0";"1";"8";" -1";" -1";" -1";" -1"
"201900000040";"138 306 456";"A01";"1";"1";"4";"1";"1964";"4";"1";"0";" -1";"0";"0";" -1"
"201900000041";"138 306 454";"B01";"1";"1";"4";"2";"1977";"1";"1";"0";" -1";"0";"0";" -1"
"201900000041";"138 306 455";"A01";"1";"1";"1";"1";"1973";"1";"1";"0";" -1";"0";"0";" -1"
"201900000042";"138 306 453";"A01";"10";"3";"3";"2";"1955";"0";"0";" -1";" -1";"2";"1";"1"
"201900000042";"138 306 453";"A01";"1";"1";"1";"2";"1944";"0";"8";"0";" -1";" -1";"0";" -1"
"201900000043";"138 306 449";"B01";"1";"1";"1";"1";"1969";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000043";"138 306 450";"A01";"1";"1";"4";"1";"2002";"5";"2";"0";" -1";" -1";"0";" -1"
"201900000044";"138 306 448";"A01";"10";"3";"4";"1";"2008";"2";"8";"0";" -1";"2";"3";"3"
"201900000044";"138 306 448";"A01";"1";"1";"1";"2";"1986";"1";"1";"0";" -1";" -1";"0";" -1"
"201900000045";"138 306 447";"A01";"1";"1";"4";"1";"1965";"4";"8";"7";" -1";" -1";"0";" -1"
"201900000046";"138 306 445";"A01";"1";"1";"1";"1";"1998";"4";"1";"0";" -1";" -1";"0";" -1"
"201900000046";"138 306 445";"A01";"10";"3";"3";"2";"2002";"9";"0";" -1";" -1";"1";"3";"1"
"201900000047";"138 306 444";"A01";"1";"1";"4";"1";"1998";"5";"2";"6";" -1";" -1";" -1";" -1"
"201900000048";"138 306 443";"A01";"10";"3";"2";"1";"1967";"5";"0";" -1";" -1";"2";"3";"1"
"201900000048";"138 306 443";"A01";"1";"1";"1";"1";"1981";"4";"1";"4";" -1";"0";"0";" -1"
"201900000049";"138 306 442";"A01";"1";"1";"4";"2";"1973";"1";"2";"8";" -1";" -1";" -1";" -1"
"201900000050";"138 306 439";"C01";"1";"1";"4";"1";"1992";"0";"1";"0";" -1";"0";"0";" -1"
"201900000050";"138 306 440";"B01";"1";"1";"1";"1";"1987";"0";"1";"0";" -1";"0";"0";" -1"
"201900000050";"138 306 440";"B01";"2";"2";"4";"2";"1988";"0";"1";"0";" -1";" -1";" -1";" -1"
"201900000050";"138 306 441";"A01";"1";"1";"1";"1";"1995";"5";"1";" -1";" -1";"0";"0";" -1"
"201900000051";"138 306 437";"B01";"1";"1";"4";"1";"2004";"0";"8";"0";" -1";"0";"0";" -1"
"201900000051";"138 306 438";"A01";"1";"1";"1";"1";"1951";"1";"1";"4";" -1";" -1";" -1";" -1"
"201900000052";"138 306 434";"B01";"1";"1";"1";"1";"1959";"4";"1";"0";" -1";" -1";" -1";" -1"
"201900000052";"138 306 435";"A01";"1";"1";"2";"1";"1959";"1";"2";"0";" -1";" -1";" -1";" -1"
"201900000053";"138 306 433";"A01";"1";"1";"1";"2";"1997";"4";"1";"0";" -1";" -1";"0";" -1"
"201900000053";"138 306 433";"A01";"10";"3";"4";"1";"1974";"5";"8";"0";" -1";"2";"3";"1"
"201900000054";"138 306 431";"A01";"1";"1";"4";"1";"1977";"5";"2";"6";" -1";" -1";"0";" -1"
"201900000054";"138 306 432";"B01";"1";"1";"1";"1";"1960";"5";"1";"0";" -1";" -1";"0";" -1"
"201900000055";"138 306 429";"B01";"2";"2";"1";"1";"1970";"5";"8";"0";" -1";" -1";"0";" -1"
"201900000055";"138 306 429";"B01";"1";"1";"1";"2";"1975";"5";"8";"0";" -1";" -1";" -1";" -1"
"201900000055";"138 306 430";"A01";"1";"1";"4";"2";"1982";"9";"8";"0";" -1";" -1";"0";" -1"
"201900000056";"138 306 428";"A01";"10";"3";"3";"1";"1932";"5";"8";"0";" -1";"3";"3";"2"
"201900000056";"138 306 428";"A01";"1";"1";"1";"1";"1968";"4";"1";"8";" -1";" -1";"0";" -1"
"201900000056";"138 306 428";"A01";"10";"3";"3";"2";"1932";"5";"8";"0";" -1";"3";"3";"2"
"201900000057";"138 306 427";"A01";"1";"1";"1";"2";"1985";"4";"1";"8";" -1";" -1";" -1";" -1"
"201900000057";"138 306 427";"A01";"10";"3";"3";"2";"2010";"5";"0";" -1";" -1";"2";"3";"1"
"201900000058";"138 306 426";"A01";"1";"1";"4";"2";"2000";"5";"2";"6";" -1";" -1";" -1";" -1"
"201900000059";"138 306 423";"A01";"1";"1";"1";"1";"1992";"0";"8";"0";" -1";" -1";" -1";" -1"
"201900000059";"138 306 424";"B01";"1";"1";"4";"2";"1986";"1";"8";"0";" -1";" -1";" -1";" -1"
"201900000060";"138 306 421";"A01";"1";"1";"4";"2";"1996";"0";"8";"0";" -1";" -1";" -1";" -1"
"201900000061";"138 306 419";"B01";"1";"1";"3";"1";"1980";"0";"2";"0";" -1";" -1";" -1";" -1"
"201900000061";"138 306 420";"A01";"1";"1";"1";"1";"1964";"5";"1";"0";" -1";" -1";" -1";" -1"
"201900000062";"138 306 417";"A01";"1";"1";"1";"2";"1992";"0";"8";"0";" -1";" -1";" -1";" -1"
"201900000062";"138 306 418";"B01";"1";"1";"4";"2";"1966";"1";"8";"0";" -1";" -1";" -1";" -1"
"201900000063";"138 306 416";"A01";"1";"1";"4";"2";"1973";"0";"1";"0";" -1";" -1";" -1";" -1"
