"Num_Acc";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202000000001";"154 742 274";"B01";"1";"1";"1";"1";"1983";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000001";"154 742 275";"A01";"1";"1";"3";"1";"1982";"5";"2";"6";" -1";" -1";" -1";" -1"
"202000000002";"154 742 273";"A01";"1";"1";"1";"1";"1997";"1";"8";"0";" -1";" -1";" -1";" -1"
"202000000002";"154 742 273";"A01";"10";"3";"4";"1";"1967";"5";"0";" -1";" -1";"3";"3";"1"
"202000000003";"154 742 271";"B01";"1";"1";"1";"1";"1985";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000003";"154 742 271";"B01";"4";"2";"3";"1";"2014";"0";"8";"0";" -1";" -1";" -1";" -1"
"202000000003";"154 742 272";"A01";"1";"1";"1";"1";"1963";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000004";"154 742 270";"A01";"1";"1";"1";"1";"1991";"5";"1";"0";" -1";"0";"0";" -1"
"202000000004";"154 742 270";"A01";"10";"3";"3";"1";"1991";"0";"0";" -1";" -1";"2";"3";"1"
"202000000005";"154 742 266";"B01";"1";"1";"1";"2";"1987";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000005";"154 742 267";"A01";"1";"1";"4";"1";"1983";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000006";"154 742 264";"B01";"1";"1";"3";"1";"2001";"1";"2";"4";" -1";" -1";"0";" -1"
"202000000006";"154 742 265";"A01";"1";"1";"1";"2";"1972";"1";"1";"8";" -1";" -1";"0";" -1"
"202000000007";"154 742 262";"A01";"1";"1";"1";"1";"1989";"0";"8";"8";" -1";" -1";" -1";" -1"
"202000000007";"154 742 263";"B01";"3";"2";"4";"2";"1966";"3";"1";"0";" -1";" -1";" -1";" -1"
"202000000007";"154 742 263";"B01";"2";"2";"4";"2";"1962";"3";"1";"8";" -1";" -1";" -1";" -1"
"202000000007";"154 742 263";"B01";"1";"1";"4";"1";"1987";"3";"1";"8";" -1";" -1";" -1";" -1"
"202000000008";"154 742 260";"B01";"1";"1";"1";"1";"1980";"3";"1";"0";" -1";" -1";" -1";" -1"
"202000000008";"154 742 261";"A01";"1";"1";"3";"1";"1951";"5";"2";"6";" -1";" -1";" -1";" -1"
"202000000009";"154 742 259";"A01";"1";"1";"1";"2";"1965";"1";"1";"8";" -1";" -1";" -1";" -1"
"202000000009";"154 742 259";"A01";"10";"3";"3";"1";"2009";"2";"0";" -1";" -1";"3";"3";"1"
"202000000010";"154 742 257";"A01";"1";"1";"3";"1";"1991";"0";"8";"0";" -1";"0";"0";" -1"
"202000000010";"154 742 258";"B01";"1";"1";"4";"1";"1977";"1";"1";"0";" -1";"0";"0";" -1"
"202000000011";"154 742 255";"A01";"1";"1";"1";"2";"1934";"5";"1";"8";" -1";" -1";"0";" -1"
"202000000011";"154 742 256";"B01";"1";"1";"4";"1";"2005";"2";"8";"0";" -1";" -1";"0";" -1"
"202000000012";"154 742 254";"A01";"1";"1";"1";"1";"1999";"0";"8";"0";" -1";"0";"0";" -1"
"202000000012";"154 742 254";"A01";"10";"3";"3";"1";"1988";"5";"8";"8";" -1";"1";"9";"2"
"202000000013";"154 742 253";"A01";"1";"1";"3";"1";"1991";"0";"1";"0";" -1";"0";"0";" -1"
"202000000014";"154 742 248";"B01";"1";"1";"4";"1";"1936";"5";"2";"4";" -1";" -1";" -1";" -1"
"202000000014";"154 742 249";"A01";"1";"1";"1";"1";"1928";"0";"1";" -1";" -1";" -1";" -1";" -1"
"202000000015";"154 742 247";"A01";"1";"1";"3";"1";"1975";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000016";"154 742 243";"C01";"1";"1";"1";"1";"1966";"4";"1";"0";" -1";" -1";" -1";" -1"
"202000000016";"154 742 244";"D01";"1";"1";"1";"2";"1999";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000016";"154 742 244";"D01";"2";"2";"1";"1";"1990";"5";"0";"0";" -1";" -1";" -1";" -1"
"202000000016";"154 742 245";"A01";"1";"1";"4";"1";"1965";"9";"1";"0";" -1";" -1";" -1";" -1"
"202000000016";"154 742 246";"B01";"1";"1";"1";"2";"1974";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000017";"154 742 242";"A01";"1";"1";"3";"1";"1981";"3";"2";"0";" -1";" -1";" -1";" -1"
"202000000018";"154 742 240";"A01";"1";"1";"1";"1";"1996";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000018";"154 742 241";"B01";"1";"1";"4";"1";"1962";"5";"1";"5";" -1";" -1";" -1";" -1"
"202000000019";"154 742 238";"A01";"1";"1";"4";"2";"1949";"5";"1";"0";" -1";" -1";"0";" -1"
"202000000020";"154 742 236";"A01";"1";"1";"3";"1";"1968";"5";"1";" -1";" -1";"0";"0";" -1"
"202000000020";"154 742 236";"A01";"2";"2";"1";"1";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202000000020";"154 742 237";"B01";"1";"1";"4";"1";"1995";"5";"1";" -1";" -1";"0";"0";" -1"
"202000000021";"154 742 235";"Z01";"10";"3";"3";"2";"1943";"5";"8";"8";" -1";"3";"3";"1"
"202000000022";"154 742 234";"A01";"1";"1";"4";"1";"2004";"5";"8";"0";" -1";" -1";" -1";" -1"
"202000000023";"154 742 233";"A01";"1";"1";"4";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000023";"154 742 233";"A01";"2";"2";"4";"1";"2000";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000023";"154 742 233";"A01";"3";"2";"4";"1";"2000";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000023";"154 742 233";"A01";"4";"2";"3";"1";"2001";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000024";"154 742 232";"A01";"1";"1";"4";"1";"1986";"5";"2";"0";" -1";" -1";"0";" -1"
"202000000025";"154 742 229";"A01";"1";"1";"1";"2";"1986";"0";"1";"0";" -1";" -1";" -1";" -1"
"202000000025";"154 742 230";"B01";"1";"1";"4";"2";"1982";"9";"1";"0";" -1";" -1";" -1";" -1"
"202000000026";"154 742 227";"B01";"2";"2";"4";"2";"1998";"0";"2";"0";" -1";" -1";" -1";" -1"
"202000000026";"154 742 228";"A01";"1";"1";"1";"1";"1988";"5";"1";"0";" -1";" -1";" -1";" -1"
"202000000027";"154 742 225";"A01";"1";"1";"3";"1";"1981";"0";"2";"6";" -1";" -1";" -1";" -1"
"202000000027";"154 742 226";"B01";"1";"1";"1";"1";"1976";"0";"1";"8";" -1";" -1";" -1";" -1"
"202000000028";"154 742 224";"A01";"10";"3";"3";"2";"1998";"5";"0";" -1";" -1";"2";"3";"1"
"202000000028";"154 742 224";"A01";"1";"1";"1";"1";"1980";"1";"1";"0";" -1";"0";"0";" -1"
"202000000029";"154 742 223";"A01";"1";"1";"4";"1";"1959";"9";"2";"0";" -1";"0";"0";" -1"
"202000000030";"154 742 221";"A01";"1";"1";"4";"1";"1999";"3";"2";"6";" -1";"0";"0";" -1"
"202000000030";"154 742 222";"B01";"1";"1";"1";"1";"1988";"5";"1";"0";" -1";"0";"0";" -1"
"202000000031";"154 742 219";"A01";"1";"1";"4";"1";"1994";"5";"2";"0";" -1";"0";"0";" -1"
"202000000031";"154 742 220";"B01";"1";"1";"1";"2";"1985";"1";"1";"0";" -1";"0";"0";" -1"
"202000000032";"154 742 218";"B01";"1";"1";"4";"2";"1999";"9";"8";"0";" -1";"0";"0";" -1"
