"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202000000187";"20";"9";"2020";"08:56";"1";"69";"69266";"2";"3";"2";"3";"STALINGRAD    (Boulevard de la Bataille ";"45,7795856";"4,8595696"
"202000000188";"20";"9";"2020";"19:25";"1";"64";"64483";"2";"1";"1";"3";"LAYATS (AVENUE DE)";"43,3974700";" -1,6386500"
"202000000189";"20";"9";"2020";"11:50";"1";"64";"64483";"2";"1";"1";"5";"CHANTACO (AVENUE DE )";"43,3737000";" -1,6378600"
"202000000190";"20";"9";"2020";"04:26";"3";"44";"44109";"1";"1";"1";"3";"PERIPHERIQUE ROUTIER";"47,2678600";" -1,5772800"
"202000000191";"20";"9";"2020";"17:15";"1";"37";"37214";"2";"1";"7";"2";"PORTILLON (QUAI)";"47,3998634";"0,6760598"
"202000000192";"20";"9";"2020";"14:50";"1";"35";"35281";"2";"1";"1";"2";"DODIN (AVENUE ROGER)";"48,0894350";" -1,7061850"
"202000000193";"20";"9";"2020";"03:00";"5";"33";"33063";"2";"2";"1";"3";"CRS DU MEDOC / CRS BALGUERIE STUTTENBERG";"44,8583148";" -0,5668694"
"202000000194";"20";"9";"2020";"15:15";"1";"29";"29232";"1";"1";"1";"2";"D783 - Boulevard President Allende";"47,9970700";" -4,0727900"
"202000000195";"20";"9";"2020";"17:45";"1";"27";"27681";"1";"1";"1";"2";"MAGNY (ROUTE DE)";"49,0993200";"1,5026900"
"202000000196";"28";"8";"2020";"23:00";"5";"13";"13208";"2";"9";"1";"2";"PRADO (AVENUE DU)";"43,2675400";"5,3835000"
"202000000197";"20";"9";"2020";"09:45";"1";"13";"13002";"2";"1";"8";"1";"QUATRE SAISONS (ROUTE DES)";"43,3239140";"5,4921450"
"202000000198";"20";"9";"2020";"05:30";"3";"13";"13047";"1";"1";"8";"6";"D.5";"43,5530700";"4,9682200"
"202000000199";"19";"9";"2020";"16:50";"1";"13";"13063";"2";"1";"2";"3";"RENE CASSIN ROND POINT";"43,5996158";"5,0064558"
"202000000200";"19";"9";"2020";"10:40";"1";"13";"13028";"2";"1";"1";"6";"QUINET (RUE EDGARD)";"43,1752240";"5,6097650"
"202000000201";"17";"9";"2020";"17:15";"1";"12";"12145";"2";"3";"1";"3";"GABRIAC JEAN (BOULEVARD)";"44,0922500";"3,0707700"
"202000000202";"20";"9";"2020";"11:30";"1";"06";"06027";"2";"1";"3";"6";"COLLE CHEMIN DE LA";"43,6708490";"7,1210560"
"202000000203";"20";"9";"2020";"00:54";"5";"03";"03185";"2";"2";"1";"3";"Quai Rouget de Lisle";"46,3428932";"2,6005865"
"202000000204";"18";"9";"2020";"22:35";"5";"75";"75118";"2";"1";"1";"7";"PORTE DE LA CHAPELLE";"48,9008870";"2,3629740"
"202000000205";"18";"9";"2020";"21:00";"5";"75";"75119";"2";"1";"1";"4";"PORTE DE PANTIN";"48,8963280";"2,3945690"
"202000000206";"18";"9";"2020";"08:55";"1";"75";"75112";"2";"1";"1";"4";"BOULEVARD PERIPHERIQUE INTERIEUR SUD";"48,8266350";"2,3889950"
"202000000207";"20";"9";"2020";"21:49";"5";"75";"75118";"2";"2";"1";"3";"RUE MYRHA";"48,8865500";"2,3495530"
"202000000208";"20";"9";"2020";"11:30";"1";"75";"75118";"2";"3";"1";" -1";"RUE DE LA CHAPELLE";"48,8910090";"2,3598700"
"202000000209";"20";"9";"2020";"01:50";"5";"75";"75118";"2";"2";"1";"6";"RUE MARX DORMOY";"48,8902230";"2,3599180"
"202000000210";"20";"9";"2020";"02:00";"3";"75";"75116";"2";"2";"1";" -1";"AVENUE DE MALAKOFF";"48,8731520";"2,2844620"
"202000000211";"20";"9";"2020";"06:45";"5";"75";"75115";"2";"3";"1";"6";"QUAI BRANLY";"48,8574700";"2,2910660"
"202000000212";"20";"9";"2020";"17:40";"1";"75";"75113";"2";"1";"1";"6";"RUE ESQUIROL";"48,8339740";"2,3611420"
"202000000213";"20";"9";"2020";"01:30";"5";"75";"75113";"2";"2";"1";"3";"RUE DES PEUPLIERS";"48,8221500";"2,3526890"
"202000000214";"20";"9";"2020";"18:50";"1";"75";"75112";"2";"7";"1";" -1";"ROUTE DE LA PYRAMIDE";"48,8338330";"2,4448970"
"202000000215";"20";"9";"2020";"02:00";"5";"75";"75107";"2";"7";"1";"6";"PLACE DE LA RESISTANCE";"48,8624240";"2,3015640"
"202000000216";"20";"9";"2020";"15:00";"1";"75";"75104";"2";"3";"1";"6";"RUE DE RIVOLI";"48,8554880";"2,3600990"
"202000000217";"20";"9";"2020";"22:20";"5";"94";"94081";"2";"3";"1";"3";"ABBE ROGER DERRY (AV DE L)";"48,7896788";"2,3899035"
"202000000218";"20";"9";"2020";"18:15";"1";"94";"94034";"2";"1";"1";"3";"PASTEUR (BD)";"48,7568840";"2,3153510"
"202000000219";"20";"9";"2020";"00:15";"5";"94";"94022";"2";"1";"1";"6";"BEL AIR (R)";"48,7630700";"2,4204200"
"202000000220";"20";"9";"2020";"18:20";"1";"94";"94071";"2";"6";"1";"1";"Avenue Gabriel Péri & Route de la Queue-En-Brie";"48,7615579";"2,5334328"
"202000000221";"20";"9";"2020";"13:40";"1";"94";"94075";"2";"3";"1";"3";"MARECHAL DE LATTRE DE TASSIGNY (AV)";"48,7274700";"2,5310600"
"202000000222";"20";"9";"2020";"20:30";"5";"93";"93072";"2";"1";"1";"6";"MAXIME GORKI (BOULEVARD) DES N°1 AU 87";"48,9519253";"2,3849984"
"202000000223";"20";"9";"2020";"15:30";"1";"93";"93014";"2";"3";"1";"5";"SEVIGNE (AVENUE DE)";"48,9125726";"2,5410795"
"202000000224";"20";"9";"2020";"20:40";"5";"93";"93005";"2";"2";"1";"3";"FRANCISCO FERRER (RUE)";"48,9432166";"2,4999091"
"202000000225";"20";"9";"2020";"17:00";"1";"92";"92040";"2";"6";"1";"3";"STALINGRAD (QUAI DE)";"48,8201781";"2,2429183"
"202000000226";"20";"9";"2020";"02:22";"5";"92";"92025";"2";"2";"1";"3";"CHARLES DE GAULLE (BD)";"48,9133000";"2,2306410"
"202000000227";"20";"9";"2020";"06:35";"2";"92";"92060";"2";"1";"8";"7";"CHARLES DE GAULLE (AVENUE) RD75 A PARTIR";"48,7766500";"2,2570300"
"202000000228";"19";"9";"2020";"20:45";"5";"92";"92007";"2";"2";"2";" -1";"BRIAND (AVENUE ARISTIDE) N° 100 A 160";"48,7962203";"2,3217228"
"202000000229";"21";"9";"2020";"16:38";"1";"08";"08062";"1";"3";"1";"1";"D985 PK023.300";"49,5399700";"4,3805840"
"202000000230";"21";"9";"2020";"08:35";"1";"31";"31547";"2";"1";"1";"3";"Route de Toulouse";"43,4989860";"1,3169490"
"202000000231";"21";"9";"2020";"05:10";"3";"86";"86170";"1";"1";"1";"1";"N147";"46,3102959";"0,8295871"
"202000000232";"20";"9";"2020";"06:00";"3";"44";"44103";"1";"1";"1";"2";"RN 171   PK 84";"47,3241850";" -2,1554340"
"202000000233";"20";"9";"2020";"20:10";"3";"57";"57529";"1";"1";"1";"1";"D15";"49,4404290";"6,0305610"
"202000000234";"20";"9";"2020";"20:15";"5";"57";"57390";"2";"3";"1";"2";"88 Grand Rue";"49,0055080";"7,3786450"
"202000000235";"21";"9";"2020";"05:26";"3";"57";"57043";"1";"3";"1";"3";"D1";"49,2555410";"6,2009080"
"202000000236";"20";"9";"2020";"18:00";"1";"95";"95352";"1";"1";"1";"3";"D922";"49,1041770";"2,3941290"
"202000000237";"19";"9";"2020";"15:00";"1";"62";"62773";"2";"3";"1";" -1";"Rue de Neufchatel";"50,6388160";"1,7431366"
"202000000238";"20";"9";"2020";"11:40";"1";"19";"19068";"1";"1";"8";"7";"D48";"45,1781040";"1,6578200"
"202000000239";"16";"8";"2020";"00:30";"3";"56";"56177";"1";"1";"3";"6";"Keryagune St Goal";"47,7702000";" -3,0674100"
"202000000240";"20";"9";"2020";"15:00";"1";"56";"56123";"1";"2";"1";"3";"La Provotaie";"47,6804650";" -2,3463750"
"202000000241";"21";"9";"2020";"07:10";"2";"76";"76441";"1";"1";"5";"1";"D49";"49,9688130";"1,5695210"
"202000000242";"20";"9";"2020";"13:00";"1";"65";"65362";"2";"1";"1";"7";"1 Route de Cauterêts";"42,9583500";" -0,0776660"
"202000000243";"21";"9";"2020";"13:45";"1";"33";"33236";"2";"1";"2";"3";"98 Avenue du Truc Vert";"44,7248500";" -1,2193100"
"202000000244";"16";"9";"2020";"17:00";"1";"89";"89368";"2";"1";"1";"6";"4 Route de Saint-amand";"47,6145820";"3,1982660"
"202000000245";"20";"9";"2020";"21:45";"3";"63";"63022";"2";"1";"1";"6";"Route de Basse-combelle";"45,4439640";"3,3024640"
"202000000246";"21";"9";"2020";"15:00";"1";"63";"63218";"1";"9";"2";"3";"D38";"45,3920800";"3,6857300"
"202000000247";"12";"9";"2020";"14:50";"1";"61";"61007";"1";"1";"1";"6";"Le Fauquis";"48,7990050";" -0,4304950"
"202000000248";"20";"9";"2020";"15:42";"1";"61";"61028";"1";"1";"1";"6";"D909";"48,8340740";" -0,2360770"
"202000000249";"11";"9";"2020";"21:10";"3";"49";"49341";"1";"1";"1";"6";"Route départementale 145";"47,2186060";" -0,0257060"
"202000000250";"21";"9";"2020";"09:15";"1";"42";"42026";"1";"1";"2";"6";"Route de Melay";"46,1740230";"4,0767970"
"202000000251";"18";"9";"2020";"17:10";"1";"86";"86032";"2";"1";"1";"6";"28 Rue de Saintonge";"46,6793120";"0,5638690"
"202000000252";"20";"9";"2020";"09:15";"1";"34";"34080";"1";"1";"9";"6";"D908";"43,5798950";"3,0233440"
"202000000253";"20";"9";"2020";"19:58";"2";"44";"44156";"2";"1";"2";"6";"18 Rue Gilles de Retz";"46,9546000";" -1,6054040"
